title,year,movie_url,audience_score,critics_score,synopsis,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Aspect Ratio,Director Name,Sound Mix,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters),Creator
Kid Cannabis,2014,https://www.rottentomatoes.com/m/kid_cannabis,64,71,A high school dropout and his 27-year-old friend smuggle marijuana across the Canadian border to make money.,John Stockwell,"Michael Becker, Gordon Bijelonic, Corey Large, Datari Turner","Mark Binelli, John Stockwell",Well Go USA,"Wingman Productions, Imprint Entertainment",,"Comedy, Drama, Crime",English,"Apr 18, 2014, Original","Apr 18, 2014",1h 50m,,John Stockwell,,$5.6K,,,
In the Blood,2014,https://www.rottentomatoes.com/m/in_the_blood_2013,39,38,A trained fighter (Gina Carano) puts her deadly skills to work after her husband (Cam Gigandet) vanishes during their Caribbean honeymoon.,John Stockwell,"Shaun Redick, Raymond Mansfield, Cash Warren","James Robert Johnston, Bennett Yellin",Anchor Bay,"Pimienta, Anchor Bay Films, MICA Entertainment, 20th Century Fox, Lleju Productions",R (Strong Violence|Language),"Action, Mystery & Thriller",English,"Apr 4, 2014, Limited","Nov 25, 2015",1h 48m,,John Stockwell,,,,,
Breaking the Girls,2013,https://www.rottentomatoes.com/m/breaking_the_girls,28,11,"Two college students (Agnes Bruckner, Madeline Zima) begin a steamy affair and pledge to kill each other's enemies.",Jamie Babbit,"Kirk D'Amico, Andrea Sperling","Mark Distefano, Guinevere Turner",,Myriad Pictures,,"Crime, Drama, Mystery & Thriller, LGBTQ+",English,,"Mar 31, 2017",1h 23m,,John Stockwell,,,,,
SEAL Team Six: The Raid on Osama bin Laden,2012,https://www.rottentomatoes.com/m/seal_team_6_the_raid_on_osama_bin_laden,45,50,"In May 2011, a seasoned team of U.S. Navy SEALs storms a Pakistani compound and brings the long hunt for the world's most wanted terrorist to an end.",John Stockwell,"Nicolas Chartier, Zev Foreman, Tony Mark",Kendall Lampkin,,Weinstein Company,,"Drama, Action",English,,"Jan 8, 2013",1h 30m,,John Stockwell,,,,,
Dark Tide,2012,https://www.rottentomatoes.com/m/dark_tide_2011,16,0,"A traumatized shark expert (Halle Berry) must battle her own fears to lead a thrill-seeking businessman on a dive into a dangerous section of water known as ""Shark Alley.""",John Stockwell,"Jeanette Buerling, Matthew E. Chausse","Ronnie Christensen, Amy Sorlie",Wrekin Hill Ent.,"Film Afrika Worldwide, Alliance Cinema, IM Global, Mirabelle Pictures",PG-13 (Disturbing Images|Bloody Shark Attacks|Language|Sexual References),"Adventure, Mystery & Thriller, Drama",English,"Mar 30, 2012, Limited","May 15, 2014",1h 54m,,John Stockwell,,,,,
Code Name: Geronimo,2012,https://www.rottentomatoes.com/m/code_name_geronimo,27,36,Synopsis not found,John Stockwell,,,,,,,,,,,,John Stockwell,,,,,
Cat Run,2011,https://www.rottentomatoes.com/m/cat_run,33,20,Two bumbling detectives have to protect a high-end escort who withholds key evidence to a government cover-up from a ruthless assassin.,John Stockwell,Bill Perkins,"Nick Ball, John Niven",Lleju Productions,Lleju Productions,R (Sexual Content|Nudity|Language|Strong Bloody Violence),"Action, Comedy",English,"Apr 1, 2011, Limited","Jun 5, 2012",1h 42m,,John Stockwell,,,,,
Middle of Nowhere,2008,https://www.rottentomatoes.com/m/10010554-middle_of_nowhere,49,NA,"While staying with his uncle for the summer, a troubled teen (Anton Yelchin) partners with an aspiring doctor (Eva Amurri) to sell marijuana.",John Stockwell,"David Lancaster, Michel Litvak, Nicole Rocklin, John Stockwell",Michelle Morgan,,Bold Films,R (Some Teen Drinking|Sexual Material|Drug Content),"Comedy, Drama, Romance",English,,"Jan 6, 2017",1h 35m,,John Stockwell,Dolby Digital,,,,
Turistas,2006,https://www.rottentomatoes.com/m/turistas,28,19,"Travelers (Josh Duhamel, Melissa George, Olivia Wilde) are in the midst of enjoying a dream vacation along the Brazilian coast. Joining a party of revelers on the beach, the friends are drugged and find awake to find themselves robbed of their money, credit cards and passports. Led to a home in the jungle where they are told they will be safe, the friends instead discover a potentially fatal secret.",John Stockwell,"Marc Butan, Scott Steindorff, John Stockwell, Bo Zenga",Michael Ross,Fox,"Stone Village Productions, Boz Productions, 2929 Productions",R (Drug Use|Disturbing Content|Language|Sexuality|Strong Graphic Violence),"Horror, Mystery & Thriller",English,"Dec 1, 2006, Original","Sep 18, 2012",1h 34m,Scope (2.35:1),John Stockwell,"Dolby SRD, DTS, SDDS",$7.0M,,,
Into the Blue,2005,https://www.rottentomatoes.com/m/into_the_blue,57,20,"Divers Sam (Jessica Alba) and Jared (Paul Walker) love life in the Bahamas. But when friends Bryce (Scott Caan) and Amanda (Ashley Scott) visit, the couple take them on a treasure-hunting trip, where they discover more than they bargained for: a downed airplane full of cocaine alongside a famous shipwreck. Unknown to Sam and Jared, Bryce makes a fatal mistake and decides to sell the cocaine -- which angers a group of drug dealers, who are now in hot pursuit of the divers.",John Stockwell,Peter Guber,Matt Johnson,Sony Pictures Entertainment,Mandalay Pictures,PG-13 (Intense Sequence of Violence|Drug Material|Language|Some Sexual Content),"Adventure, Action, Mystery & Thriller",English,"Sep 30, 2005, Wide","Dec 27, 2013",1h 50m,Scope (2.35:1),John Stockwell,"Surround, Dolby SRD, DTS, SDDS",$18.5M,,,
Blue Crush,2002,https://www.rottentomatoes.com/m/blue_crush,58,62,"Nothing gets between Anne Marie (Kate Bosworth) and her board. Living in a beach shack with three roommates including her rebellious younger sister, she is up before dawn every morning to conquer the waves and count the days until the Rip Masters surf competition. Anne Marie finds all she needs in the adrenaline-charged surf scene ... until pro quarterback Matt Tollman (Matthew Davis) comes along. Like it or not, Anne Marie starts losing her balance - and finding it - as she falls for Matt.",John Stockwell,"Brian Grazer, Karen Kehela Sherwood","Lizzy Weiss, Lizzy Weiss, John Stockwell",Universal Pictures,Imagine Entertainment,PG-13 (Language|Fight|Sexual Content|Teen Partying),"Drama, Romance",English,"Aug 16, 2002, Wide","May 8, 2015",1h 44m,Flat (1.85:1),John Stockwell,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby EX, Dolby Digital",$40.1M,,,
Rock Star,2001,https://www.rottentomatoes.com/m/rock_star,59,53,"A comedy set in the world of '80s rock 'n' roll, Rock Star is the story of an office supplies salesman who moonlights as a musician in a tribute band and whose life is changed forever when he is chosen out of the blue to replace the lead singer of his all-time favorite band, Steel Dragon.",Stephen Herek,"Toby Jaffe, Robert Lawrence","Callie Khouri, John Stockwell",Warner Bros. Pictures,"Maysville Pictures, Warner Brothers, Robert Lawrence Productions, Bel Air Entertainment, Metal Productions, Inc.",R (Sexuality|Language|Some Drug Content),"Drama, Music",English,"Sep 7, 2001, Wide","May 4, 2010",1h 46m,Scope (2.35:1),John Stockwell,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",$17.0M,,,
Crazy/Beautiful,2001,https://www.rottentomatoes.com/m/crazy-beautiful,69,63,"Two high school students from opposite ends of the social spectrum fall for each other in this teen drama. Nicole Oakley (Kirsten Dunst), the troubled daughter of a wealthy congressman, attends a public school in the upscale community of Pacific Palisades. As an act of defiance, she makes a play for the attentions of Carlos Nuñez (Jay Hernandez), a straight-A student who takes a two-hour bus ride to attend Nicole's school. Her self-destructive tendencies threaten his ambitions.",John Stockwell,"Harry J. Ufland, Mary Jane Ufland, Rachel Pfeffer","Phil Hay, Matt Manfredi",Touchstone Pictures,Walt Disney Productions,PG-13 (Language|Drug/Alcohol Content|Mature Thematic Material|Sexuality),"Romance, Drama",English,"Jun 29, 2001, Wide","Jan 1, 2014",1h 39m,Flat (1.85:1),John Stockwell,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",$16.9M,,,
Cheaters,2000,https://www.rottentomatoes.com/m/1102882-cheaters,60,NA,"Dr. Gerard Plecki (Jeff Daniels) is an English teacher at the rundown Steinmetz High School in Chicago. When Plecki accepts the school's offer to become the Academic Decathlon coach, he must fight the rampant apathy and find diligent students to compete. One of these students, Jolie Fitch (Jena Malone), works with Plecki to recruit intelligent kids -- clearly an elusive bunch. Once the team qualifies for state competition, they face a golden opportunity to cheat their way to success.",John Stockwell,"Kevin Reidy, Gloria Jean Sykes",John Stockwell,,"Nitelite Entertainment, Home Box Office (HBO), De Passe Entertainment","TV-14, R",Drama,English,,,1h 46m,,John Stockwell,,,"Feb 12, 2002",,
Breast Men,1997,https://www.rottentomatoes.com/m/breast_men,33,50,"A Texas medical resident (David Schwimmer) and a plastic surgeon (Chris Cooper) present their invention, the silicone breast implant, to Dow-Corning in the 1960s.",Lawrence O'Neil,Guy Riedel,John Stockwell,,,"R, TV-MA",Drama,English,,,1h 36m,,John Stockwell,,,"May 6, 2008",,
The Nurse,1997,https://www.rottentomatoes.com/m/1074617-nurse,9,NA,A psychotic nurse (Lisa Zane) seeks revenge on the man who drove her father over the edge into murder and suicide.,Robert Malenfant,"Pierre David, Richard Brandes",Richard Brandes,,,R,Mystery & Thriller,English,,"Sep 1, 2016",1h 34m,,John Stockwell,,,,,
Stag,1997,https://www.rottentomatoes.com/m/stag,38,40,"An accidental death at a bachelor party spurs a night of shooting, kidnapping and murder in the host's (John Stockwell) home.",Gavin Wilding,John Dunning,,,Lionsgate Films,R,Mystery & Thriller,English,,"Sep 1, 2016",1h 32m,,John Stockwell,,,,,
Legal Deceit,1997,https://www.rottentomatoes.com/m/legal_deceit,NA,NA,"Following a mentor's (Jeffrey Dean Morgan) example, a fledgling lawyer (Lela Rochon) becomes mired in corporate blackmail and murder.",Monika Harris,"Eric Collins, Monika Harris, Shemin V. Proctor",,,,,Mystery & Thriller,English,,,1h 33m,,John Stockwell,,,,,
I Shot a Man in Vegas,1995,https://www.rottentomatoes.com/m/i_shot_a_man_in_vegas,NA,NA,Friends flash back to a fight between pals that left one dead earlier that night in Las Vegas.,Keoni Waxman,"Alec Chorches, Molly M. Mayeux, Scott Moore",,,,R,Drama,English,,,1h 24m,,John Stockwell,,,,,
Hart to Hart: Crimes of the Hart,1994,https://www.rottentomatoes.com/m/hart_to_hart_crimes_of_the_hart,NA,NA,"Rich married sleuths (Robert Wagner, Stefanie Powers) and their right-hand man Max (Lionel Stander) hit New York where someone tries to sabotage Jennifer's play.",Peter Hunt,"James Polster, Stefanie Powers",Lawrence Hertzog,,"Columbia Pictures Television, Papazian-Hirsch Entertainment International",TV-PG,Mystery & Thriller,English,,,1h 37m,,John Stockwell,,,"Apr 13, 2011",,
Born to Ride,1990,https://www.rottentomatoes.com/m/1035763-born_to_ride,43,NA,A rowdy biker (John Stamos) picks the Army over prison and joins motorcycle scouts geared up for World War II.,Graham Baker,"Fred Weintraub, Sandra Weintraub","Michael Pardridge, Janice Hickey",,Jadran Film,PG,"Adventure, Action",English,,"Jan 1, 2009",1h 28m,,John Stockwell,Surround,$17.7K,,,
Billionaire Boys Club,1987,https://www.rottentomatoes.com/m/billionaire-boys-club,74,NA,"Based on a true story, this drama follows the highly illegal and immoral exploits of Joe Hunt (Judd Nelson), a ruthless investor out to amass a fortune through various schemes. When con man Ron Levin (Ron Silver) becomes involved with Hunt's shady organization, things quickly sour between the two underhanded men. Soon Levin is dead, and Hunt thinks he's gotten away with murder. Eventually, Hunt's ambition and greed threaten to get the best of him.",Marvin J. Chomsky,,,,,TV-PG,Mystery & Thriller,English,,,3h 20m,,John Stockwell,,,"Sep 23, 2008",,
Under Cover,1987,https://www.rottentomatoes.com/m/under_cover,7,NA,A Baltimore detective (David Neidorf) works undercover with a drug officer (Jennifer Jason Leigh) at a South Carolina high school.,John Stockwell,,,,,R,"Crime, Drama",English,,,1h 34m,,John Stockwell,Surround,,,,
Top Gun,1986,https://www.rottentomatoes.com/m/top_gun,83,58,"The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying skills. When hotshot fighter pilot Maverick (Tom Cruise) is sent to the school, his reckless attitude and cocky demeanor put him at odds with the other pilots, especially the cool and collected Iceman (Val Kilmer). But Maverick isn't only competing to be the top fighter pilot, he's also fighting for the attention of his beautiful flight instructor, Charlotte Blackwood (Kelly McGillis).",Tony Scott,"Jerry Bruckheimer, Don Simpson","Jim Cash, Jack Epps Jr.",Paramount Pictures,Paramount Pictures,PG,"Action, Adventure",English,"May 16, 1986, Original","Aug 1, 2013",1h 49m,Scope (2.35:1),John Stockwell,"Dolby Stereo, Surround, Dolby Atmos, DTS, Dolby Digital",$179.8M,,"May 13, 2021",
Dangerously Close,1986,https://www.rottentomatoes.com/m/dangerously_close,44,10,The editor (J. Eddie Peck) of a high-school paper opposes the elitist leader (John Stockwell) of a student police force.,Albert Pyun,Harold Sobel,"Marty Ross, Scott Fields, John Stockwell",,"Cannon Group, Golan-Globus Productions",R,Mystery & Thriller,English,"May 9, 1986, Limited","Jan 1, 2020",1h 34m,,John Stockwell,Surround,$2.0M,,,
Radioactive Dreams,1986,https://www.rottentomatoes.com/m/radioactive_dreams,45,NA,Phillip (John Stockwell) and Marlowe (Michael Dudikoff) emerge from a bomb shelter in 2010 after 15 formative years of reading Raymond Chandler.,Albert Pyun,"Moctesuma Esparza, Tom Karnowski",Albert Pyun,,,R,Sci-Fi,English,,,1h 38m,,John Stockwell,Surround,$210.2K,,,
City Limits,1985,https://www.rottentomatoes.com/m/1004229-city_limits,8,NA,A corporate plot to take over plague-ravaged Los Angeles runs afoul of teenage bikers ruling the city.,Aaron Lipstadt,"Rupert Harvey, Barry Opper",,,,PG-13,Sci-Fi,English,,,1h 25m,,John Stockwell,,,"Jul 31, 2004",,
My Science Project,1985,https://www.rottentomatoes.com/m/my_science_project,57,11,A teen (John Stockwell) and his girlfriend (Danielle von Zerneck) raid a military junkyard and find a time-travel contraption from a UFO.,Jonathan Beteul,Jonathan T. Taplin,Jonathan R. Betuel,,Silver Screen Partners II,PG,Sci-Fi,English,,,1h 34m,,John Stockwell,Surround,,"Feb 3, 2004",,
Quarterback Princess,1983,https://www.rottentomatoes.com/m/quarterback-princess,60,NA,A Canadian teenager living in Oregon causes a stir when she decides to try out for her high-school football team.,Noel Black,,,,,TV-G,Drama,English,,,1h 40m,,John Stockwell,,,"Aug 21, 2012",,
Christine,1983,https://www.rottentomatoes.com/m/christine,64,72,"Unpopular nerd Arnie Cunningham (Keith Gordon) buys a 1958 Plymouth Fury, which he names Christine. Arnie develops an unhealthy obsession with the car, to the alarm of his jock friend, Dennis Guilder (John Stockwell). After bully Buddy Repperton (William Ostrander) defaces Christine, the auto restores itself to perfect condition and begins killing off Buddy and his friends. Determined to stop the deaths, Dennis and Arnie's girlfriend, Leigh Cabot (Alexandra Paul), decide to destroy Christine.",John Carpenter,Richard Kobritz,Bill Phillips,,"Columbia Pictures Corporation, Polar Films",R,Horror,English,,"Apr 16, 2012",1h 50m,,John Stockwell,"Surround, Stereo",,,,
Eddie and the Cruisers,1983,https://www.rottentomatoes.com/m/eddie_and_the_cruisers,73,33,"Eddie and the Cruisers, a major rock 'n' roll band in the early '60s, fell off the radar when singer Eddie (Michael Paré) vanished after a dispute over their experimental second album. Nearly 20 years later, journalist Maggie Foley (Ellen Barkin) tracks down the old Cruisers to see if she can unravel the secret of Eddie's disappearance. By piecing together the band members' stories, she hopes to find the missing master tapes to the lost LP, and also solve the mystery of Eddie's ultimate fate.",Martin Davidson,"Joseph Brooks, Robert K. Lifton","Arlene Davidson, Martin Davidson",Embassy Pictures,Aurora,PG,Musical,English,"Sep 23, 1983, Original",,1h 32m,,John Stockwell,Surround,,"Sep 4, 2001",,
Losin' It,1982,https://www.rottentomatoes.com/m/1012754-losin_it,28,18,A teenager (Tom Cruise) and his buddies drive to '60s Tijuana with a woman (Shelley Long) looking for a quick divorce.,Curtis Hanson,"Bryan Gindoff, Hannah Hempstead",Bill Norton,,Tiberius Film Productions,R,Comedy,English,"Aug 20, 1982, Limited",,1h 40m,,John Stockwell,,,"Mar 1, 2011",,
No Time to Spy: A Loud House Movie,2024,https://www.rottentomatoes.com/m/no_time_to_spy_a_loud_house_movie,84,NA,"Lincoln and the Louds are ecstatic to welcome their new Gran-Gran, Myrtle, into the family, but the festivities are cut short when an old nemesis from Myrtle's past appears on the island.","Kyle Marshall, Dave Needham","Paul Gertz, David Kirschner","Bill Kelly, Kevin Sullivan, Chris Viscardi, J. David Stem, David N. Weiss",Nickelodeon,"Nickelodeon Movies, David Kirschner Productions",,"Kids & Family, Adventure, Action, Animation",English,,"Jun 21, 2024",1h 42m,,Brian Robbins,,,,,
